,0,1
0,0.8016861985783336,1.8312213528314706e-08
0,0.006182576427697484,1.6107500918395242e-09
0,0.952582574552286,6.230468937853948e-09
0,0.8663890316659372,1.641462391304574e-09
0,0.11518907904152653,7.007967082803862e-09
0,0.6495261411728117,4.41782686751791e-08
0,0.040333008048761054,6.091957105566358e-09
0,0.8071207809537002,7.497648401782039e-10
0,0.6936470786576722,1.0021283182352558e-09
0,0.11956675378766068,7.644514748762764e-09
0,0.710722766138501,7.906387172134417e-10
0,0.1400849527819813,3.903139308225896e-09
0,0.27742182169715524,3.5994316769759516e-09
0,0.988451979098015,1.0381731822207438e-06
0,0.4228088524351644,6.653332590294708e-09
0,0.7761299084430409,1.70405838830492e-09
0,0.6159725117051204,1.4181049721774573e-09
0,0.45340890933258415,1.3009274521437276e-08
0,0.46060341184622333,4.397253734124054e-09
0,0.8951439972055415,4.124217176799902e-09
0,0.4932991656728072,3.9196436572682485e-09
0,0.9916580025188059,1.2311139771382804e-09
0,0.6800538877415352,2.433078144256027e-09
0,0.7566158389833226,4.7207016418197766e-09
0,0.523345164632924,9.75490731276202e-09
0,0.8927267065976427,9.010198585523199e-09
0,0.8921527808646678,1.766457391395095e-08
0,0.1076316525614135,7.252916709166861e-09
0,0.10303411281623809,9.584841352831215e-10
0,0.9179122755273367,1.7155825209682571e-09
0,0.40956836096826077,1.3850473689142669e-09
0,0.21911250622200062,8.504198379795263e-09
0,0.6245124766669377,1.2976016007996019e-08
0,0.2905227393283186,6.942641496992438e-10
0,0.7609480564903484,5.678551274114513e-10
0,0.9732882419758075,1.0734473127014535e-08
0,0.6820595510979226,2.6981059560236006e-09
0,0.2837717458959076,2.2970969084562874e-09
0,0.757729855063006,1.4514699716297793e-09
0,0.3719237343256703,1.0000045030283414e-09
0,0.5142520184855386,9.640936719157683e-09
0,0.05296912340785198,2.732862494848712e-09
0,0.0045274795917882305,2.0385135623627657e-09
0,0.381895637567081,4.628187504736994e-09
0,0.047484051614742784,1.86629224835186e-08
0,0.45114031238607244,3.762769808433352e-09
0,0.49130112132003,2.4459691923945273e-09
0,0.97249268422257,2.9934370810304646e-08
0,0.7752830402276211,3.116842059794287e-09
0,0.5304453835306195,6.364150462273074e-09
0,0.030885770668418355,2.9194249432161e-09
0,0.4746059786629897,3.859518436274544e-09
0,0.3721939250604619,3.304450791597412e-09
0,0.42198070016691136,5.220903947299983e-09
0,0.7432948123630883,5.519629307631981e-09
0,0.8147557885570501,1.2000301273381074e-09
0,0.25503153196777306,7.137052945054096e-10
0,0.04495134497234443,4.504595894103786e-09
0,0.4320722061385003,7.057265509003198e-09
0,0.8039731236837466,3.6188317694642006e-09
0,0.050327440486986896,9.627862064230356e-11
0,0.0737691284486115,1.6657590222578726e-09
0,0.5244963398070059,2.182535457812347e-09
0,0.4683895263796407,5.3970927193097274e-09
0,0.3567172814061297,2.7912861502449482e-09
0,0.670939868617317,6.093045176045868e-09
0,0.8031252634163075,4.492329015973221e-09
0,0.3395186989364245,1.490263066247142e-08
0,0.12411068599409203,1.0785800625381684e-09
0,0.1558174764889001,4.333859266501086e-09
0,0.22414365628234656,1.2277498938318985e-08
0,0.984079272648106,1.5808237141844885e-09
0,0.22442432892125486,3.6975335839546645e-09
0,0.3245559261091051,5.441259457713268e-09
0,0.38159186038644977,1.5300499038858505e-08
0,0.6083880323735438,2.0810933263234217e-09
0,0.9149771778456142,8.835331310957142e-10
0,0.9536067144176761,2.0300065789406556e-09
0,0.2090633174339206,1.3769965826159811e-08
0,0.38733282609151043,1.596500058025259e-09
0,0.21825491430237398,6.429295306531191e-09
0,0.965898919866679,4.553324447788212e-09
0,0.5728825012927431,5.107073404843525e-09
0,0.6797388886830357,3.4979696173031985e-09
0,0.9355599409859858,2.648830677589899e-09
0,0.4497776171130946,1.5546937591767224e-08
0,0.7261597327424162,7.686031669200267e-10
0,0.843670340252959,5.99431842260506e-09
0,0.06416751679883037,5.154588737905913e-10
0,0.806564060722714,4.518994033147726e-09
0,0.7397022380056056,1.0015856171257288e-08
0,0.9633772323483633,1.0890059178662377e-09
0,0.8604204012238431,4.786253325260298e-08
0,0.8150938561770816,1.8601569359284567e-09
0,0.9375005355851737,1.7675545605416066e-09
0,0.17588782148295456,5.358914537195422e-09
0,0.9580087946109151,1.5939933117595183e-08
0,0.17782471037567837,1.1158356480163386e-09
0,0.3793146050560766,4.31133231174157e-09
0,0.2968373425126657,2.2510858145561465e-09
