,Am II -A,Am II -B,Am II -C,Am II -D,Solvent,Am I - BS,Am I - RC,Am I - AH,Am I - BT
Untreated: 5%,1500.5491352257052,1520.5755036762973,1543.0689148302592,1564.065219587825,1615.0000000000002,1635.3548325955212,1653.1181605579131,1672.4638527236118,1691.6254733094866
Untreated: 10%,1500.4120623251945,1520.7641408706695,1543.3264453364372,1564.4382318921598,1615.0000000000002,1635.4167601414817,1653.071107861953,1672.3356886203103,1691.3913040984046
Untreated: 20%,1500.044105033306,1520.9178422720036,1543.6067829284323,1564.8535152545192,1615.0000000000002,1635.4250407608981,1652.9616993066993,1672.1794440370325,1691.138909515492
Untreated: 30%,1499.8129198235956,1520.9735605264314,1543.7261564035477,1565.0374278640584,1615.0000000000002,1635.3375445550573,1652.8221122072027,1671.997840361397,1690.9022703167877
Untreated: 40%,1499.6283637087272,1521.0496174603234,1543.8674842873625,1565.2525806967858,1615.0000000000002,1635.2705088939106,1652.7234010653474,1671.9187127233936,1690.7911915671077
Untreated: 50%,1499.4149041955507,1521.0888416230434,1543.9558409315796,1565.3963647489863,1615.0000000000002,1635.2874638125704,1652.7661083543273,1671.9519324096113,1690.7374081489738
Untreated: 60%,1515.5351206851496,1536.7524593989526,1555.8237615187156,1576.782549633362,1619.9028183326404,1637.1287629195956,1653.6223071841168,1672.464604896979,1690.3523442181192
Untreated: 70%,1514.2449255721829,1533.6506570053493,1552.0952573135562,1571.5877741409338,1619.9999999999998,1635.7389491606589,1653.1265776440569,1672.445686617469,1690.48994382936
Untreated: 80%,1516.966600868884,1538.2298982605066,1557.2164215501407,1577.5406088181699,1619.9999544592988,1636.4425239958268,1653.242039569675,1672.1043040542204,1690.008982151834
Untreated: 90%,1517.9899205399054,1539.2402081789705,1558.3108158355053,1578.436574921209,1619.9999999999998,1635.8558717962374,1653.1374903802378,1672.2869608048125,1690.3687628165947
Untreated: 95%,1517.772601303609,1538.2279571516403,1556.8137947691998,1576.0830255944238,1619.9999999999998,1630.2535270190751,1651.2715954190746,1670.3682911853616,1689.4516122829327
MeOH: 5%,1504.1842703057837,1523.1361712314465,1545.2002466654021,1566.3378670954135,1615.0000000000002,1629.8076256568306,1652.7391724126676,1676.2011683652051,1695.6265858616744
MeOH: 10%,1504.2533542676813,1523.2184388363112,1545.3494457589397,1566.5262011339298,1615.0000000000002,1629.7812526578653,1652.7154606986164,1676.1678258801176,1695.4966643702605
MeOH: 20%,1504.2187710418568,1523.101500872079,1545.4124326224257,1566.8117091085207,1615.0000000000002,1629.8766030885129,1652.7927694570726,1676.25025609296,1695.316486110222
MeOH: 30%,1504.1104456437192,1522.9258985330964,1545.345255103666,1566.8755707125592,1615.0000000000002,1629.9616300511823,1652.8729218386468,1676.3562219020948,1695.2652545299577
MeOH: 40%,1503.9360316978039,1522.7159276522095,1545.2516565619997,1566.9123491790506,1615.0000000000002,1630.0249865923713,1652.8918721280618,1676.366936583141,1695.1743801261784
MeOH: 50%,1503.866024777425,1522.6111840643466,1545.2240150893476,1566.982514064609,1615.0000000000002,1630.0847360717137,1652.9370653648382,1676.4251870632434,1695.1289993056996
MeOH: 60%,1510.9863705885632,1532.9244365769239,1555.0939352202777,1576.1139965273114,1619.9999999999998,1637.7048529896156,1657.451451243998,1680.2240974759768,1697.0121662504748
MeOH: 70%,1512.6413456247178,1535.1176286822126,1557.5518921595276,1579.5230748354836,1619.9999999999998,1641.430015105763,1661.1236130236975,1682.2010740950564,1697.3769537597905
MeOH: 80%,1513.7995371732343,1536.4138303421555,1558.8328624149563,1581.1415715777084,1619.9999999999998,1642.5102816968783,1662.5880033012966,1683.0252152050166,1697.564537630791
MeOH: 90%,1514.731729741859,1537.178490508461,1559.4122729854867,1581.2330023135298,1619.9999999999998,1644.115909524328,1664.275837992753,1684.1020780291087,1698.1889744350738
MeOH: 95%,1515.2571817510436,1537.2645862334368,1559.37406027869,1581.084216145724,1619.9999999999998,1645.7410921388828,1665.9991590224865,1685.0731334454942,1698.9263065914379
WA45: 5%,1495.645962194182,1518.336552059124,1539.6417664254564,1560.6318838143175,1615.0000000000002,1628.4450380151209,1653.1743975301238,1674.9782104466506,1696.7372089222654
WA45: 10%,1495.6221409047203,1518.6677430002474,1539.993975532418,1561.0384441234967,1615.0000000000002,1628.319390031788,1652.808649295961,1674.3244369296358,1696.1589273857169
WA45: 20%,1495.456515384146,1518.9697618863372,1540.3684070794598,1561.518093883559,1615.0000000000002,1628.1997072066738,1652.5179231673908,1673.9202718405966,1695.7666522767095
WA45: 30%,1495.3301040953972,1519.1109447973581,1540.5629705385747,1561.7852078099845,1615.0000000000002,1628.1406020114093,1652.3821617960552,1673.7419024420858,1695.5829965234993
WA45: 40%,1495.303207460289,1519.4010642053165,1540.9023146786942,1562.1867095563696,1615.0000000000002,1628.0672021416963,1652.2074714936023,1673.5115860671083,1695.3640401095158
WA45: 50%,1495.2332498655173,1519.6278156784738,1541.1900523723277,1562.5364083099196,1615.0000000000002,1628.010023014541,1652.04310800372,1673.279102311585,1695.1307816409849
WA45: 60%,1495.2683578639962,1520.0617586742433,1541.6639764854333,1563.0619627291687,1615.0000000000002,1627.8865188012128,1651.7757415920173,1672.8970674446068,1694.7909928621361
WA45: 70%,1495.3193821645891,1520.3750295294587,1542.0073936223635,1563.4413992762147,1615.0000000000002,1627.7883723574398,1651.5951836163295,1672.6839303831564,1694.6058490656367
WA45: 80%,1495.557517455063,1520.6932317297599,1542.3336903535264,1563.7666815136336,1615.0000000000002,1627.7208525053895,1651.4386700263021,1672.4653533894693,1694.3998087628995
WA45: 90%,1496.1319951014402,1521.2208023706978,1542.8386517608699,1564.280874622623,1615.0000000000002,1627.7220700491405,1651.445619344939,1672.4992784827075,1694.3335735727674
WA45: 95%,1497.056532895241,1521.7450555638434,1543.3220964844677,1564.7437490627917,1615.0000000000002,1627.7687024487702,1651.4905535590726,1672.5999652442476,1694.3381272047138
