  1644.000     0.057
  1645.122     0.048
  1646.245     0.040
  1647.367     0.033
  1648.490     0.024
  1649.612     0.006
  1650.735     0.053
  1651.857     0.051
  1652.980     0.084
  1654.102     0.112
  1655.224     0.125
  1656.347     0.178
  1657.469     0.260
  1658.592     0.238
  1659.714     0.231
  1660.837     0.318
  1661.959     0.333
  1663.082     0.324
  1664.204     0.286
  1665.327     0.274
  1666.449     0.250
  1667.571     0.265
  1668.694     0.268
  1669.816     0.201
  1670.939     0.130
  1672.061     0.132
  1673.184     0.059
  1674.306     0.048
  1675.429     0.036
  1676.551     0.049
  1677.673     0.056
  1678.796     0.059
  1679.918     0.027
  1681.041     0.053
  1682.163     0.025
  1683.286     0.064
  1684.408     0.049
  1685.531     0.048
  1686.653     0.058
  1687.776     0.004
  1688.898     0.033
  1690.020     0.037
  1691.143     0.063
  1692.265     0.044
  1693.388     0.040
  1694.510     0.040
  1695.633     0.034
  1696.755     0.008
  1697.878     0.000
  1699.000     0.006
