  1018.000     0.016
  1019.333     0.027
  1020.667     0.000
  1022.000     0.005
  1023.333     0.051
  1024.667     0.307
  1026.000     0.175
  1027.333     0.092
  1028.667     0.056
  1030.000     0.090
  1031.333     0.052
  1032.667     0.034
  1034.000     0.007
  1035.333     0.085
  1036.667     0.084
  1038.000     0.092
  1039.333     0.068
  1040.667     0.148
  1042.000     0.274
  1043.333     0.493
  1044.667     0.477
  1046.000     0.401
  1047.333     0.253
  1048.667     0.183
  1050.000     0.075
  1051.333     0.056
  1052.667     0.068
  1054.000     0.113
  1055.333     0.274
  1056.667     0.450
  1058.000     0.547
  1059.333     0.175
  1060.667     0.060
  1062.000     0.051
  1063.333     0.072
  1064.667     0.118
  1066.000     0.079
  1067.333     0.084
  1068.667     0.069
  1070.000     0.116
  1071.333     0.247
  1072.667     0.436
  1074.000     0.581
  1075.333     0.616
  1076.667     0.450
  1078.000     0.514
  1079.333     0.714
  1080.667     0.499
  1082.000     0.504
  1083.333     0.616
  1084.667     0.698
  1086.000     0.726
  1087.333     0.853
  1088.667     0.896
  1090.000     0.797
  1091.333     0.817
  1092.667     1.000
  1094.000     0.977
  1095.333     0.811
  1096.667     0.456
  1098.000     0.427
  1099.333     0.411
  1100.667     0.248
  1102.000     0.303
  1103.333     0.289
  1104.667     0.295
  1106.000     0.177
  1107.333     0.135
  1108.667     0.096
  1110.000     0.063
  1111.333     0.056
  1112.667     0.051
  1114.000     0.060
  1115.333     0.046
  1116.667     0.050
  1118.000     0.016
  1119.333     0.018
  1120.667     0.022
  1122.000     0.036
  1123.333     0.029
  1124.667     0.068
  1126.000     0.111
  1127.333     0.127
  1128.667     0.158
  1130.000     0.110
  1131.333     0.088
  1132.667     0.033
  1134.000     0.047
  1135.333     0.061
  1136.667     0.058
  1138.000     0.110
  1139.333     0.162
  1140.667     0.114
  1142.000     0.138
  1143.333     0.140
  1144.667     0.078
  1146.000     0.063
  1147.333     0.044
  1148.667     0.024
  1150.000     0.008
