843,82173	2,18528	2,1946	2,20017	2,21105	2,19851	2,21132	2,216	2,23703	2,22364	2,28441	2,31821
844,78609	2,1694	2,16647	2,16939	2,18929	2,17203	2,19799	2,18754	2,19955	2,19855	2,25801	2,30497
845,75046	2,15562	2,14206	2,14205	2,16055	2,15011	2,18344	2,15845	2,17071	2,17566	2,23571	2,27584
846,71483	2,1319	2,12662	2,1223	2,13697	2,1302	2,1598	2,14112	2,15882	2,15892	2,2176	2,24852
847,6792	2,09858	2,10715	2,11035	2,11489	2,10704	2,13123	2,11984	2,13634	2,14012	2,20352	2,23193
848,64357	2,08216	2,08371	2,09304	2,08948	2,08848	2,10125	2,10229	2,11228	2,11606	2,17857	2,2104
849,60793	2,06591	2,06071	2,06323	2,06851	2,06144	2,07053	2,08066	2,09237	2,08729	2,14111	2,17356
850,5723	2,04554	2,03926	2,04106	2,05162	2,039	2,05214	2,05647	2,07004	2,06858	2,11606	2,14586
851,53667	2,02277	2,01884	2,02131	2,03038	2,02518	2,03606	2,03342	2,04206	2,05107	2,0976	2,12953
852,50104	2,00155	1,99955	2,00201	2,00847	2,00611	2,01859	2,01205	2,02291	2,02753	2,08044	2,11778
853,4654	1,98292	1,97723	1,98365	1,98666	1,98025	1,99438	1,99225	2,00744	2,00765	2,06129	2,09694
854,42977	1,96429	1,95335	1,96285	1,96423	1,95358	1,969	1,97375	1,98502	1,98656	2,0378	2,06741
855,39414	1,94699	1,9349	1,94325	1,94304	1,93957	1,95262	1,95631	1,96346	1,96913	2,01425	2,04465
856,35851	1,92323	1,9165	1,92168	1,92399	1,92447	1,93318	1,93739	1,93772	1,95115	1,99117	2,02109
857,32287	1,90067	1,90112	1,90256	1,90799	1,90437	1,91248	1,91978	1,91889	1,92784	1,97529	2,00425
858,28724	1,88065	1,88544	1,88232	1,8851	1,88655	1,89378	1,89877	1,90466	1,90492	1,95493	1,98733
859,25161	1,86134	1,86494	1,86455	1,8637	1,87046	1,87615	1,8772	1,88485	1,88532	1,9363	1,96521
